id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1676,32,JAWA BARAT,3274,KOTA CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2133,ORANG,2024
1677,32,JAWA BARAT,3275,KOTA BEKASI,SD KE BAWAH,3038,ORANG,2024
1678,32,JAWA BARAT,3275,KOTA BEKASI,SMP,11298,ORANG,2024
1679,32,JAWA BARAT,3275,KOTA BEKASI,SMA (UMUM),32452,ORANG,2024
1680,32,JAWA BARAT,3275,KOTA BEKASI,SMA (KEJURUAN),29554,ORANG,2024
1681,32,JAWA BARAT,3275,KOTA BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,29223,ORANG,2024
1682,32,JAWA BARAT,3276,KOTA DEPOK,SD KE BAWAH,3104,ORANG,2024
1683,32,JAWA BARAT,3276,KOTA DEPOK,SMP,6169,ORANG,2024
1684,32,JAWA BARAT,3276,KOTA DEPOK,SMA (UMUM),11654,ORANG,2024
1685,32,JAWA BARAT,3276,KOTA DEPOK,SMA (KEJURUAN),24528,ORANG,2024
1686,32,JAWA BARAT,3276,KOTA DEPOK,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,20287,ORANG,2024
1687,32,JAWA BARAT,3277,KOTA CIMAHI,SD KE BAWAH,3018,ORANG,2024
1688,32,JAWA BARAT,3277,KOTA CIMAHI,SMP,2657,ORANG,2024
1689,32,JAWA BARAT,3277,KOTA CIMAHI,SMA (UMUM),9243,ORANG,2024
1690,32,JAWA BARAT,3277,KOTA CIMAHI,SMA (KEJURUAN),8203,ORANG,2024
1691,32,JAWA BARAT,3277,KOTA CIMAHI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4858,ORANG,2024
1692,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD KE BAWAH,2016,ORANG,2024
1693,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMP,4364,ORANG,2024
1694,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA (UMUM),4072,ORANG,2024
1695,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA (KEJURUAN),8714,ORANG,2024
1696,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,6478,ORANG,2024
1697,32,JAWA BARAT,3279,KOTA BANJAR,SD KE BAWAH,1174,ORANG,2024
1698,32,JAWA BARAT,3279,KOTA BANJAR,SMP,571,ORANG,2024
1699,32,JAWA BARAT,3279,KOTA BANJAR,SMA (UMUM),1624,ORANG,2024
1700,32,JAWA BARAT,3279,KOTA BANJAR,SMA (KEJURUAN),1528,ORANG,2024
1701,32,JAWA BARAT,3279,KOTA BANJAR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1070,ORANG,2024
